question_id,subject,topic,difficulty_level,question_text,option_a,option_b,option_c,option_d,correct_option,expected_time_sec
Q00780,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",25,10,21,15,C,90
Q00781,Aptitude,Mixed,1,What is 25% of 240?,80,70,60,50,C,20
Q00782,Aptitude,Mixed,1,What is 25% of 200?,60,40,70,50,D,20
Q00783,Aptitude,Mixed,3,The average of 5 numbers is 18. What is their sum?,100,85,90,95,C,45
Q00784,Aptitude,Mixed,3,The average of 6 numbers is 18. What is their sum?,113,103,108,118,C,45
Q00785,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",10,25,15,21,D,90
Q00786,Aptitude,Mixed,1,What is 25% of 120?,30,20,40,50,A,20
Q00787,Aptitude,Mixed,1,What is 25% of 280?,80,70,60,90,B,20
Q00788,Aptitude,Mixed,4,A can do a work in 12 days and B in 15 days. How many days will they take together?,8,6,9,7,D,60
Q00789,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",10,25,21,15,C,90
Q00790,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 25, how many are boys?",15,13,17,19,A,30
Q00791,Aptitude,Mixed,4,A can do a work in 12 days and B in 15 days. How many days will they take together?,6,7,8,9,B,60
Q00792,Aptitude,Mixed,3,The average of 6 numbers is 20. What is their sum?,130,120,115,125,B,45
Q00793,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 30, how many are boys?",22,18,20,16,B,30
Q00794,Aptitude,Mixed,1,What is 25% of 240?,50,80,60,70,C,20
Q00795,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 30, how many are boys?",20,16,18,22,C,30
Q00796,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 25, how many are boys?",19,17,13,15,D,30
Q00797,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",10,15,25,21,D,90
Q00798,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 30, how many are boys?",16,20,22,18,D,30
Q00799,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 20, how many are boys?",10,14,12,16,C,30
Q00800,Aptitude,Mixed,3,The average of 6 numbers is 18. What is their sum?,108,113,103,118,A,45
Q00801,Aptitude,Mixed,3,The average of 6 numbers is 22. What is their sum?,137,142,127,132,D,45
Q00802,Aptitude,Mixed,1,What is 25% of 200?,70,50,40,60,B,20
Q00803,Aptitude,Mixed,4,A can do a work in 12 days and B in 18 days. How many days will they take together?,6,8,9,7,D,60
Q00804,Aptitude,Mixed,4,A can do a work in 12 days and B in 18 days. How many days will they take together?,6,8,7,9,C,60
Q00805,Aptitude,Mixed,4,A can do a work in 10 days and B in 18 days. How many days will they take together?,6,8,7,5,A,60
Q00806,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 25, how many are boys?",17,15,19,13,B,30
Q00807,Aptitude,Mixed,1,What is 25% of 200?,50,40,60,70,A,20
Q00808,Aptitude,Mixed,3,The average of 6 numbers is 22. What is their sum?,137,142,127,132,D,45
Q00809,Aptitude,Mixed,1,What is 25% of 240?,80,50,70,60,D,20
Q00810,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",21,25,10,15,A,90
Q00811,Aptitude,Mixed,3,The average of 5 numbers is 18. What is their sum?,100,90,95,85,B,45
Q00812,Aptitude,Mixed,4,A can do a work in 10 days and B in 18 days. How many days will they take together?,8,6,7,5,B,60
Q00813,Aptitude,Mixed,4,A can do a work in 12 days and B in 18 days. How many days will they take together?,9,6,8,7,D,60
Q00814,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 35, how many are boys?",25,19,23,21,D,30
Q00815,Aptitude,Mixed,1,What is 25% of 280?,70,80,60,90,A,20
Q00816,Aptitude,Mixed,4,A can do a work in 10 days and B in 15 days. How many days will they take together?,7,8,6,5,C,60
Q00817,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",10,25,15,21,D,90
Q00818,Aptitude,Mixed,3,The average of 6 numbers is 18. What is their sum?,108,103,118,113,A,45
Q00819,Aptitude,Mixed,1,What is 25% of 160?,60,50,30,40,D,20
Q00820,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 30, how many are boys?",22,20,18,16,C,30
Q00821,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 25, how many are boys?",13,19,15,17,C,30
Q00822,Aptitude,Mixed,4,A can do a work in 10 days and B in 18 days. How many days will they take together?,7,6,5,8,B,60
Q00823,Aptitude,Mixed,1,What is 25% of 240?,60,80,50,70,A,20
Q00824,Aptitude,Mixed,4,A can do a work in 10 days and B in 18 days. How many days will they take together?,8,7,5,6,D,60
Q00825,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 35, how many are boys?",21,19,23,25,A,30
Q00826,Aptitude,Mixed,3,The average of 6 numbers is 22. What is their sum?,142,127,132,137,C,45
Q00827,Aptitude,Mixed,3,The average of 4 numbers is 18. What is their sum?,82,77,72,67,C,45
Q00828,Aptitude,Mixed,3,The average of 6 numbers is 18. What is their sum?,113,108,103,118,B,45
Q00829,Aptitude,Mixed,1,What is 25% of 160?,40,50,60,30,A,20
Q00830,Aptitude,Mixed,1,What is 25% of 240?,60,70,50,80,A,20
Q00831,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 20, how many are boys?",16,14,12,10,C,30
Q00832,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",15,25,10,21,D,90
Q00833,Aptitude,Mixed,1,What is 25% of 120?,40,50,20,30,D,20
Q00834,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 25, how many are boys?",15,19,17,13,A,30
Q00835,Aptitude,Mixed,1,What is 25% of 280?,90,60,70,80,C,20
Q00836,Aptitude,Mixed,4,A can do a work in 10 days and B in 15 days. How many days will they take together?,8,6,5,7,B,60
Q00837,Aptitude,Mixed,4,A can do a work in 10 days and B in 18 days. How many days will they take together?,6,8,7,5,A,60
Q00838,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",15,25,21,10,C,90
Q00839,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 35, how many are boys?",23,21,25,19,B,30
Q00840,Aptitude,Mixed,3,The average of 6 numbers is 18. What is their sum?,108,103,113,118,A,45
Q00841,Aptitude,Mixed,1,What is 25% of 280?,60,90,70,80,C,20
Q00842,Aptitude,Mixed,4,A can do a work in 12 days and B in 18 days. How many days will they take together?,6,8,9,7,D,60
Q00843,Aptitude,Mixed,3,The average of 4 numbers is 18. What is their sum?,72,82,77,67,A,45
Q00844,Aptitude,Mixed,4,A can do a work in 10 days and B in 15 days. How many days will they take together?,8,5,7,6,D,60
Q00845,Aptitude,Mixed,4,A can do a work in 12 days and B in 18 days. How many days will they take together?,6,7,8,9,B,60
Q00846,Aptitude,Mixed,1,What is 25% of 240?,50,60,80,70,B,20
Q00847,Aptitude,Mixed,1,What is 25% of 120?,20,50,40,30,D,20
Q00848,Aptitude,Mixed,4,A can do a work in 10 days and B in 18 days. How many days will they take together?,8,7,6,5,C,60
Q00849,Aptitude,Mixed,4,A can do a work in 10 days and B in 18 days. How many days will they take together?,5,6,7,8,B,60
Q00850,Aptitude,Mixed,4,A can do a work in 10 days and B in 15 days. How many days will they take together?,6,7,5,8,A,60
Q00851,Aptitude,Mixed,1,What is 25% of 240?,80,50,70,60,D,20
Q00852,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 35, how many are boys?",23,25,19,21,D,30
Q00853,Aptitude,Mixed,3,The average of 5 numbers is 20. What is their sum?,110,95,100,105,C,45
Q00854,Aptitude,Mixed,3,The average of 4 numbers is 18. What is their sum?,72,77,67,82,A,45
Q00855,Aptitude,Mixed,3,The average of 6 numbers is 20. What is their sum?,115,125,130,120,D,45
Q00856,Aptitude,Mixed,4,A can do a work in 12 days and B in 15 days. How many days will they take together?,9,8,6,7,D,60
Q00857,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 30, how many are boys?",18,20,22,16,A,30
Q00858,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 20, how many are boys?",16,14,10,12,D,30
Q00859,Aptitude,Mixed,1,What is 25% of 200?,40,60,70,50,D,20
Q00860,Aptitude,Mixed,3,The average of 6 numbers is 18. What is their sum?,103,118,108,113,C,45
Q00861,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",21,25,10,15,A,90
Q00862,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 25, how many are boys?",19,15,13,17,B,30
Q00863,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",10,25,15,21,D,90
Q00864,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",21,25,15,10,A,90
Q00865,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 30, how many are boys?",18,16,20,22,A,30
Q00866,Aptitude,Mixed,3,The average of 4 numbers is 18. What is their sum?,67,77,72,82,C,45
Q00867,Aptitude,Mixed,1,What is 25% of 280?,60,80,90,70,D,20
Q00868,Aptitude,Mixed,4,A can do a work in 12 days and B in 15 days. How many days will they take together?,7,9,8,6,A,60
Q00869,Aptitude,Mixed,3,The average of 4 numbers is 20. What is their sum?,85,80,75,90,B,45
Q00870,Aptitude,Mixed,4,A can do a work in 12 days and B in 18 days. How many days will they take together?,6,8,7,9,C,60
Q00871,Aptitude,Mixed,1,What is 25% of 280?,90,60,70,80,C,20
Q00872,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 30, how many are boys?",16,22,18,20,C,30
Q00873,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",25,15,10,21,D,90
Q00874,Aptitude,Mixed,3,The average of 4 numbers is 18. What is their sum?,82,67,77,72,D,45
Q00875,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",15,10,21,25,C,90
Q00876,Aptitude,Mixed,3,The average of 5 numbers is 18. What is their sum?,85,95,100,90,D,45
Q00877,Aptitude,Mixed,3,The average of 4 numbers is 22. What is their sum?,98,83,93,88,D,45
Q00878,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 30, how many are boys?",22,16,18,20,C,30
Q00879,Aptitude,Mixed,3,The average of 5 numbers is 18. What is their sum?,85,100,95,90,D,45
Q00880,Aptitude,Mixed,4,A can do a work in 10 days and B in 15 days. How many days will they take together?,8,7,5,6,D,60
Q00881,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",10,15,21,25,C,90
Q00882,Aptitude,Mixed,3,The average of 5 numbers is 18. What is their sum?,95,85,90,100,C,45
Q00883,Aptitude,Mixed,1,What is 25% of 200?,70,40,50,60,C,20
Q00884,Aptitude,Mixed,4,A can do a work in 12 days and B in 18 days. How many days will they take together?,6,7,8,9,B,60
Q00885,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 25, how many are boys?",15,19,17,13,A,30
Q00886,Aptitude,Mixed,4,A can do a work in 12 days and B in 18 days. How many days will they take together?,6,9,7,8,C,60
Q00887,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 20, how many are boys?",12,14,16,10,A,30
Q00888,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",21,15,25,10,A,90
Q00889,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 20, how many are boys?",16,12,10,14,B,30
Q00890,Aptitude,Mixed,1,What is 25% of 160?,60,30,50,40,D,20
Q00891,Aptitude,Mixed,3,The average of 6 numbers is 22. What is their sum?,132,142,137,127,A,45
Q00892,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 25, how many are boys?",17,13,19,15,D,30
Q00893,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",10,21,25,15,B,90
Q00894,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 30, how many are boys?",20,22,16,18,D,30
Q00895,Aptitude,Mixed,3,The average of 5 numbers is 18. What is their sum?,95,100,85,90,D,45
Q00896,Aptitude,Mixed,4,A can do a work in 10 days and B in 15 days. How many days will they take together?,5,7,8,6,D,60
Q00897,Aptitude,Mixed,1,What is 25% of 160?,30,60,50,40,D,20
Q00898,Aptitude,Mixed,4,A can do a work in 10 days and B in 15 days. How many days will they take together?,6,5,7,8,A,60
Q00899,Aptitude,Mixed,1,What is 25% of 280?,80,90,70,60,C,20
Q00900,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",10,21,25,15,B,90
Q00901,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",25,15,21,10,C,90
Q00902,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 30, how many are boys?",20,18,16,22,B,30
Q00903,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",21,25,10,15,A,90
Q00904,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 20, how many are boys?",10,12,16,14,B,30
Q00905,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",15,25,21,10,C,90
Q00906,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 30, how many are boys?",20,22,18,16,C,30
Q00907,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",25,10,15,21,D,90
Q00908,Aptitude,Mixed,1,What is 25% of 160?,40,50,30,60,A,20
Q00909,Aptitude,Mixed,1,What is 25% of 280?,60,80,70,90,C,20
Q00910,Aptitude,Mixed,4,A can do a work in 12 days and B in 15 days. How many days will they take together?,7,8,9,6,A,60
Q00911,Aptitude,Mixed,3,The average of 6 numbers is 20. What is their sum?,115,125,120,130,C,45
Q00912,Aptitude,Mixed,4,A can do a work in 10 days and B in 15 days. How many days will they take together?,6,7,8,5,A,60
Q00913,Aptitude,Mixed,1,What is 25% of 120?,50,20,40,30,D,20
Q00914,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",21,10,25,15,A,90
Q00915,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 20, how many are boys?",10,16,14,12,D,30
Q00916,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",21,10,25,15,A,90
Q00917,Aptitude,Mixed,1,What is 25% of 240?,70,50,80,60,D,20
Q00918,Aptitude,Mixed,3,The average of 5 numbers is 20. What is their sum?,95,100,105,110,B,45
Q00919,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 30, how many are boys?",22,18,20,16,B,30
Q00920,Aptitude,Mixed,4,A can do a work in 12 days and B in 15 days. How many days will they take together?,6,8,7,9,C,60
Q00921,Aptitude,Mixed,1,What is 25% of 200?,40,70,60,50,D,20
Q00922,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",21,10,15,25,A,90
Q00923,Aptitude,Mixed,1,What is 25% of 280?,70,90,60,80,A,20
Q00924,Aptitude,Mixed,3,The average of 4 numbers is 22. What is their sum?,83,98,93,88,D,45
Q00925,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 30, how many are boys?",22,20,16,18,D,30
Q00926,Aptitude,Mixed,3,The average of 4 numbers is 22. What is their sum?,98,83,93,88,D,45
Q00927,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",21,15,10,25,A,90
Q00928,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",15,25,21,10,C,90
Q00929,Aptitude,Mixed,1,What is 25% of 280?,90,60,70,80,C,20
Q00930,Aptitude,Mixed,4,A can do a work in 10 days and B in 15 days. How many days will they take together?,8,7,6,5,C,60
Q00931,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 30, how many are boys?",20,18,22,16,B,30
Q00932,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",15,21,25,10,B,90
Q00933,Aptitude,Mixed,1,What is 25% of 160?,50,60,40,30,C,20
Q00934,Aptitude,Mixed,1,What is 25% of 120?,50,20,40,30,D,20
Q00935,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",15,21,25,10,B,90
Q00936,Aptitude,Mixed,1,What is 25% of 120?,50,30,40,20,B,20
Q00937,Aptitude,Mixed,4,A can do a work in 10 days and B in 18 days. How many days will they take together?,7,5,6,8,C,60
Q00938,Aptitude,Mixed,1,What is 25% of 200?,70,60,50,40,C,20
Q00939,Aptitude,Mixed,4,A can do a work in 12 days and B in 15 days. How many days will they take together?,9,7,8,6,B,60
Q00940,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",10,15,21,25,C,90
Q00941,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 20, how many are boys?",14,10,16,12,D,30
Q00942,Aptitude,Mixed,1,What is 25% of 160?,60,30,40,50,C,20
Q00943,Aptitude,Mixed,3,The average of 6 numbers is 20. What is their sum?,120,115,125,130,A,45
Q00944,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",25,15,21,10,C,90
Q00945,Aptitude,Mixed,4,A can do a work in 10 days and B in 15 days. How many days will they take together?,8,7,5,6,D,60
Q00946,Aptitude,Mixed,4,A can do a work in 12 days and B in 15 days. How many days will they take together?,8,7,9,6,B,60
Q00947,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",10,25,21,15,C,90
Q00948,Aptitude,Mixed,3,The average of 6 numbers is 18. What is their sum?,113,103,108,118,C,45
Q00949,Aptitude,Mixed,1,What is 25% of 120?,20,40,30,50,C,20
Q00950,Aptitude,Mixed,1,What is 25% of 280?,90,70,80,60,B,20
Q00951,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",21,15,10,25,A,90
Q00952,Aptitude,Mixed,1,What is 25% of 120?,30,40,50,20,A,20
Q00953,Aptitude,Mixed,3,The average of 5 numbers is 22. What is their sum?,110,120,115,105,A,45
Q00954,Aptitude,Mixed,4,A can do a work in 10 days and B in 18 days. How many days will they take together?,8,6,7,5,B,60
Q00955,Aptitude,Mixed,3,The average of 5 numbers is 18. What is their sum?,85,95,100,90,D,45
Q00956,Aptitude,Mixed,3,The average of 6 numbers is 22. What is their sum?,127,132,137,142,B,45
Q00957,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 20, how many are boys?",16,10,12,14,C,30
Q00958,Aptitude,Mixed,3,The average of 6 numbers is 20. What is their sum?,120,115,130,125,A,45
Q00959,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 25, how many are boys?",19,13,15,17,C,30
Q00960,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",25,10,15,21,D,90
Q00961,Aptitude,Mixed,3,The average of 4 numbers is 18. What is their sum?,72,82,67,77,A,45
Q00962,Aptitude,Mixed,1,What is 25% of 160?,40,30,50,60,A,20
Q00963,Aptitude,Mixed,3,The average of 5 numbers is 22. What is their sum?,105,120,110,115,C,45
Q00964,Aptitude,Mixed,1,What is 25% of 120?,30,50,40,20,A,20
Q00965,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 20, how many are boys?",14,16,10,12,D,30
Q00966,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 30, how many are boys?",16,20,18,22,C,30
Q00967,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",25,21,15,10,B,90
Q00968,Aptitude,Mixed,1,What is 25% of 160?,40,50,60,30,A,20
Q00969,Aptitude,Mixed,1,What is 25% of 240?,80,50,70,60,D,20
Q00970,Aptitude,Mixed,1,What is 25% of 280?,70,80,90,60,A,20
Q00971,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",21,15,10,25,A,90
Q00972,Aptitude,Mixed,4,A can do a work in 12 days and B in 15 days. How many days will they take together?,6,7,9,8,B,60
Q00973,Aptitude,Mixed,4,A can do a work in 10 days and B in 15 days. How many days will they take together?,6,7,8,5,A,60
Q00974,Aptitude,Mixed,1,What is 25% of 120?,40,30,20,50,B,20
Q00975,Aptitude,Mixed,4,A can do a work in 12 days and B in 15 days. How many days will they take together?,7,8,9,6,A,60
Q00976,Aptitude,Mixed,3,The average of 6 numbers is 20. What is their sum?,130,115,120,125,C,45
Q00977,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",10,21,25,15,B,90
Q00978,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 25, how many are boys?",13,17,15,19,C,30
Q00979,Aptitude,Mixed,3,The average of 4 numbers is 20. What is their sum?,85,90,75,80,D,45
Q00980,Aptitude,Mixed,4,A can do a work in 12 days and B in 18 days. How many days will they take together?,6,9,7,8,C,60
Q00981,Aptitude,Mixed,3,The average of 5 numbers is 18. What is their sum?,95,100,85,90,D,45
Q00982,Aptitude,Mixed,1,What is 25% of 160?,60,30,40,50,C,20
Q00983,Aptitude,Mixed,4,A can do a work in 12 days and B in 18 days. How many days will they take together?,9,7,6,8,B,60
Q00984,Aptitude,Mixed,3,The average of 5 numbers is 20. What is their sum?,95,105,110,100,D,45
Q00985,Aptitude,Mixed,1,What is 25% of 280?,80,60,70,90,C,20
Q00986,Aptitude,Mixed,1,What is 25% of 240?,60,70,50,80,A,20
Q00987,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",21,10,15,25,A,90
Q00988,Aptitude,Mixed,1,What is 25% of 120?,20,50,40,30,D,20
Q00989,Aptitude,Mixed,3,The average of 5 numbers is 18. What is their sum?,90,85,100,95,A,45
Q00990,Aptitude,Mixed,2,"If the ratio of boys to girls is 3:2 and total students are 20, how many are boys?",10,14,12,16,C,30
Q00991,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",21,25,10,15,A,90
Q00992,Aptitude,Mixed,4,A can do a work in 10 days and B in 15 days. How many days will they take together?,6,5,8,7,A,60
Q00993,Aptitude,Mixed,4,A can do a work in 12 days and B in 18 days. How many days will they take together?,7,8,9,6,A,60
Q00994,Aptitude,Mixed,1,What is 25% of 200?,50,40,60,70,A,20
Q00995,Aptitude,Mixed,3,The average of 4 numbers is 20. What is their sum?,75,90,85,80,D,45
Q00996,Aptitude,Mixed,3,The average of 4 numbers is 22. What is their sum?,83,88,98,93,B,45
Q00997,Aptitude,Mixed,5,"If the radius of a circle is increased by 10%, the percentage increase in its area is approximately:",15,21,25,10,B,90
Q00998,Aptitude,Mixed,1,What is 25% of 160?,30,40,60,50,B,20
Q00999,Aptitude,Mixed,3,The average of 6 numbers is 18. What is their sum?,118,108,103,113,B,45
Q01000,Aptitude,Mixed,1,What is 25% of 120?,20,40,50,30,D,20
Q01001,English,Grammar/Vocabulary,5,Identify the error in the sentence: 'He is senior to me.',He,is,senior to,No error,D,90
Q01002,English,Grammar/Vocabulary,5,Identify the error in the sentence: 'He is senior to me.',No error,is,He,senior to,A,90
Q01003,English,Grammar/Vocabulary,5,Identify the error in the sentence: 'He is senior to me.',is,He,senior to,No error,D,90
Q01004,English,Grammar/Vocabulary,2,Choose the correct sentence.,She finishing the work,She had finish the work,She has finished the work,She have finished the work,C,25
Q01005,English,Grammar/Vocabulary,4,Choose the antonym of 'Expand'.,Widen,Increase,Grow,Reduce,D,60
Q01006,English,Grammar/Vocabulary,3,Choose the synonym of 'Abundant'.,Plentiful,Limited,Rare,Scarce,A,40
Q01007,English,Grammar/Vocabulary,2,Choose the correct sentence.,She finishing the work,She had finish the work,She has finished the work,She have finished the work,C,25
Q01008,English,Grammar/Vocabulary,2,Choose the correct sentence.,She finishing the work,She has finished the work,She have finished the work,She had finish the work,B,25
Q01009,English,Grammar/Vocabulary,4,Choose the antonym of 'Expand'.,Reduce,Increase,Grow,Widen,A,60
Q01010,English,Grammar/Vocabulary,5,Identify the error in the sentence: 'He is senior to me.',senior to,is,He,No error,D,90
Q01011,English,Grammar/Vocabulary,4,Choose the antonym of 'Expand'.,Widen,Increase,Reduce,Grow,C,60
Q01012,English,Grammar/Vocabulary,1,Choose the correct sentence.,She has finished the work,She finishing the work,She have finished the work,She had finish the work,A,25
Q01013,English,Grammar/Vocabulary,1,Choose the correct sentence.,She have finished the work,She finishing the work,She had finish the work,She has finished the work,D,25
Q01014,English,Grammar/Vocabulary,2,Choose the correct sentence.,She had finish the work,She has finished the work,She have finished the work,She finishing the work,B,25
Q01015,English,Grammar/Vocabulary,4,Choose the antonym of 'Expand'.,Grow,Reduce,Increase,Widen,B,60
Q01016,English,Grammar/Vocabulary,4,Choose the antonym of 'Expand'.,Grow,Widen,Reduce,Increase,C,60
Q01017,English,Grammar/Vocabulary,5,Identify the error in the sentence: 'He is senior to me.',He,No error,senior to,is,B,90
Q01018,English,Grammar/Vocabulary,1,Choose the correct sentence.,She finishing the work,She has finished the work,She had finish the work,She have finished the work,B,25
Q01019,English,Grammar/Vocabulary,5,Identify the error in the sentence: 'He is senior to me.',senior to,No error,He,is,B,90
Q01020,English,Grammar/Vocabulary,5,Identify the error in the sentence: 'He is senior to me.',No error,senior to,is,He,A,90
Q01021,English,Grammar/Vocabulary,2,Choose the correct sentence.,She has finished the work,She had finish the work,She finishing the work,She have finished the work,A,25
Q01022,English,Grammar/Vocabulary,3,Choose the synonym of 'Abundant'.,Limited,Plentiful,Scarce,Rare,B,40
Q01023,English,Grammar/Vocabulary,1,Choose the correct sentence.,She have finished the work,She had finish the work,She finishing the work,She has finished the work,D,25
Q01024,English,Grammar/Vocabulary,5,Identify the error in the sentence: 'He is senior to me.',He,senior to,is,No error,D,90
Q01025,English,Grammar/Vocabulary,2,Choose the correct sentence.,She had finish the work,She finishing the work,She have finished the work,She has finished the work,D,25
Q01026,English,Grammar/Vocabulary,3,Choose the synonym of 'Abundant'.,Plentiful,Scarce,Rare,Limited,A,40
Q01027,English,Grammar/Vocabulary,1,Choose the correct sentence.,She had finish the work,She finishing the work,She has finished the work,She have finished the work,C,25
Q01028,English,Grammar/Vocabulary,2,Choose the correct sentence.,She finishing the work,She has finished the work,She had finish the work,She have finished the work,B,25
Q01029,English,Grammar/Vocabulary,4,Choose the antonym of 'Expand'.,Reduce,Grow,Widen,Increase,A,60
Q01030,English,Grammar/Vocabulary,4,Choose the antonym of 'Expand'.,Widen,Reduce,Increase,Grow,B,60
Q01031,English,Grammar/Vocabulary,5,Identify the error in the sentence: 'He is senior to me.',is,He,senior to,No error,D,90
Q01032,English,Grammar/Vocabulary,2,Choose the correct sentence.,She finishing the work,She had finish the work,She has finished the work,She have finished the work,C,25
Q01033,English,Grammar/Vocabulary,4,Choose the antonym of 'Expand'.,Increase,Widen,Reduce,Grow,C,60
Q01034,English,Grammar/Vocabulary,4,Choose the antonym of 'Expand'.,Increase,Grow,Reduce,Widen,C,60
Q01035,English,Grammar/Vocabulary,2,Choose the correct sentence.,She had finish the work,She finishing the work,She have finished the work,She has finished the work,D,25
Q01036,English,Grammar/Vocabulary,2,Choose the correct sentence.,She had finish the work,She finishing the work,She has finished the work,She have finished the work,C,25
